title,pagecat,supplier_part,desc
1nH ±0.3nH,0603 Inductors 1nH,BSCH001608081N0S00,Ceramic 600mA 100mΩ
1.2nH ±0.3nH,,BSCH001608081N2S00,Ceramic 600mA 100mΩ
1.5nH ±0.3nH,,BSCH001608081N5S00,Ceramic 600mA 100mΩ
1.8nH ±0.3nH,,BSCH001608081N8S00,Ceramic 600mA 100mΩ
2.2nH ±0.3nH,,BSCH001608082N2S00,Ceramic 600mA 100mΩ
2.7nH ±0.3nH,,BSCH001608082N7S00,Ceramic 600mA 100mΩ
3.3nH ±0.3nH,,BSCH001608083N3S00,Ceramic 600mA 120mΩ
3.9nH ±0.3nH,,BSCH001608083N9S00,Ceramic 600mA 140mΩ
4.7nH ±0.3nH,,BSCH001608084N7S00,Ceramic 600mA 160mΩ
5.6nH ±0.3nH,,BSCH001608085N6S00,Ceramic 600mA 180mΩ
6.8nH ±5%,,BSCH001608086N8J00,Ceramic 600mA 220mΩ
8.2nH ±5%,,BSCH001608088N2J00,Ceramic 600mA 240mΩ
10nH ±5%,0603 Inductors 10nH,BSCH0016080810NJ00,Ceramic 600mA 260mΩ
12nH ±5%,,BSCH0016080812NJ00,Ceramic 600mA 280mΩ
15nH ±5%,,BSCH0016080815NJ00,Ceramic 600mA 320mΩ
18nH ±5%,,BSCH0016080818NJ00,Ceramic 600mA 350mΩ
22nH ±5%,,BSCH0016080822NJ00,Ceramic 500mA 400mΩ
27nH ±5%,,BSCH0016080827NJ00,Ceramic 500mA 450mΩ
33nH ±5%,,BSCH0016080833NJ00,Ceramic 400mA 550mΩ
39nH ±5%,,BSCH0016080839NJ00,Ceramic 400mA 600mΩ
47nH ±5%,,BSCH0016080847NJ00,Ceramic 400mA 700mΩ
56nH ±5%,,BSCH0016080856NJ00,Ceramic 400mA 750mΩ
68nH ±5%,,BSCH0016080868NJ00,Ceramic 400mA 850mΩ
82nH ±5%,,LRC0603CJ82NGV001T,Ceramic 300mA 1.8Ω
100nH ±5%,0603 Inductors 100nH,BSCH00160808R10J00,Ceramic 300mA 1.2Ω
120nH ±5%,,BSCH00160808R12J00,Ceramic 300mA 1.3Ω
150nH ±5%,,BSCH00160808R15J00,Ceramic 250mA 1.7Ω
220nH ±5%,,7847806221,Ceramic 300mA 1.5Ω
270nH ±5%,,7847806271,Ceramic 300mA 1.9Ω
330nH ±5%,,7847806331,Ceramic 300mA 2.1Ω
390nH ±5%,,7847806391,Ceramic 150mA 2.3Ω
,,,
,,,
,,,
,,,
,,,
2.2Ω ±5%,0603 Resistors,1/8W
2.4Ω ±5%,,1/8W
2.7Ω ±5%,,1/8W
3.0Ω ±5%,,1/8W
3.3Ω ±5%,,1/8W
